,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
152,5000,0.25,-3.45,2035,20055911.78,200923107.71,15588287.3,200923107.71,0.09981884119046906,0.018644595799205382,0.07758334756845972,-0.0035908978228039595
153,5100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
154,5100,0.25,-3.45,2026,16003404.98,192503918.12,12187780.56,192503918.12,0.08313287924884757,0.001958633857583894,0.06331185712491616,-0.01786238826634752
155,5100,0.25,-3.45,2035,20055911.78,200923107.71,15684225.5,200923107.71,0.09981884119046906,0.018644595799205382,0.0780608347081593,-0.0031134106831043756
156,5200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
157,5200,0.25,-3.45,2026,16003404.98,192503918.12,12271713.71,192503918.12,0.08313287924884757,0.001958633857583894,0.06374786461411272,-0.01742638077715096
158,5200,0.25,-3.45,2035,20055911.78,200923107.71,15784124.06,200923107.71,0.09981884119046906,0.018644595799205382,0.07855803267179119,-0.0026162127194724882
159,5300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
160,5300,0.25,-3.45,2026,16003404.98,192503918.12,12331564.370000001,192503918.12,0.08313287924884757,0.001958633857583894,0.064058770805449,-0.01711547458581468
161,5300,0.25,-3.45,2035,20055911.78,200923107.71,15861664.26,200923107.71,0.09981884119046906,0.018644595799205382,0.07894395244420441,-0.002230292947059273
162,5400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
163,5400,0.25,-3.45,2026,16003404.98,192503918.12,12421154.14,192503918.12,0.08313287924884757,0.001958633857583894,0.0645241627355195,-0.016650082655744178
164,5400,0.25,-3.45,2035,20055911.78,200923107.71,15965424.6,200923107.71,0.09981884119046906,0.018644595799205382,0.07946037059631542,-0.0017138747949482641
165,5500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
166,5500,0.25,-3.45,2026,16003404.98,192503918.12,12505173.58,192503918.12,0.08313287924884757,0.001958633857583894,0.06496061847533267,-0.016213626915931006
167,5500,0.25,-3.45,2035,20055911.78,200923107.71,16060853.27,200923107.71,0.09981884119046906,0.018644595799205382,0.07993532179076805,-0.0012389236004956283
168,5600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
169,5600,0.25,-3.45,2026,16003404.98,192503918.12,12603151.99,192503918.12,0.08313287924884757,0.001958633857583894,0.06546958686910284,-0.01570465852216084
170,5600,0.25,-3.45,2035,20055911.78,200923107.71,16152642.24,200923107.71,0.09981884119046906,0.018644595799205382,0.08039215809519394,-0.0007820872960697389
171,5700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
172,5700,0.25,-3.45,2026,16003404.98,192503918.12,12674172.83,192503918.12,0.08313287924884757,0.001958633857583894,0.06583851878848189,-0.01533572660278179
173,5700,0.25,-3.45,2035,20055911.78,200923107.71,16248309.110000001,200923107.71,0.09981884119046906,0.018644595799205382,0.0808682948177957,-0.0003059505734679807
174,5800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
175,5800,0.25,-3.45,2026,16003404.98,192503918.12,12754990.22,192503918.12,0.08313287924884757,0.001958633857583894,0.06625834084088096,-0.01491590455038272
176,5800,0.25,-3.45,2035,20055911.78,200923107.71,16336717.97,200923107.71,0.09981884119046906,0.018644595799205382,0.08130830821898001,0.00013406282771633027
177,5900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
178,5900,0.25,-3.45,2026,16003404.98,192503918.12,12850882.0,192503918.12,0.08313287924884757,0.001958633857583894,0.06675646981891155,-0.014417775572352132
179,5900,0.25,-3.45,2035,20055911.78,200923107.71,16439620.01,200923107.71,0.09981884119046906,0.018644595799205382,0.08182045458767206,0.0006462091964083844
180,6000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
181,6000,0.25,-3.45,2026,16003404.98,192503918.12,12953291.790000001,192503918.12,0.08313287924884757,0.001958633857583894,0.06728845789998615,-0.01388578749127753
